Subject;Type;Size;Metrics;YS;Unknown;UTS;A
1;Ref;6;Round;101;4,76;198;8,09
2;Ref;6;Round;103;9,52;200;8,94
3;Ref;6;Round;103;14,29;203;9,13
4;Ref;6;Round;104;19,05;206;9,2
5;Ref;6;Round;106;23,81;207;9,52
6;Ref;6;Round;106;28,57;209;10,31
7;Ref;6;Round;107;33,33;219;11,27
8;Ref;6;Round;107;38,1;222;11,93
9;Ref;6;Round;108;42,86;224;12,37
10;Ref;6;Round;108;47,62;225;12,63
11;Ref;6;Round;108;52,38;228;12,73
12;Ref;6;Round;109;57,14;228;13,13
13;Ref;6;Round;110;61,9;228;13,27
14;Ref;6;Round;110;66,67;229;13,29
15;Ref;6;Round;110;71,43;232;13,34
16;Ref;6;Round;110;76,19;233;13,86
17;Ref;6;Round;111;80,95;233;14,36
18;Ref;6;Round;112;85,71;234;15,29
19;Ref;6;Round;112;90,48;236;15,45
20;Ref;6;Round;114;95,24;241;17,1
21;Ref;5;Flat;110;12,5;195;6
22;Ref;5;Flat;114;25;213;8,36
23;Ref;5;Flat;116;37,5;222;9,19
24;Ref;5;Flat;116;50;231;12,47
25;Ref;5;Flat;117;62,5;236;15,2
26;Ref;5;Flat;118;75;242;15,27
27;Ref;5;Flat;123;87,5;248;15,37
28;Nb-B;5;Flat;110;9,09;211;8,09
29;Nb-B;5;Flat;114;18,18;222;10,43
30;Nb-B;5;Flat;115;27,27;222;12,01
31;Nb-B;5;Flat;116;36,36;230;12,19
32;Nb-B;5;Flat;116;45,45;231;12,82
33;Nb-B;5;Flat;117;54,55;231;13,76
34;Nb-B;5;Flat;118;63,64;235;14,32
35;Nb-B;5;Flat;118;72,73;235;14,69
36;Nb-B;5;Flat;119;81,82;239;16,09
37;Nb-B;5;Flat;120;90,91;243;16,57
38;Nb-B;6;Round;103;3,7;212;9,93
39;Nb-B;6;Round;104;7,41;215;10,37
40;Nb-B;6;Round;104;11,11;217;10,97
41;Nb-B;6;Round;104;14,81;219;11,1
42;Nb-B;6;Round;105;18,52;220;12,46
43;Nb-B;6;Round;105;22,22;222;12,49
44;Nb-B;6;Round;106;25,93;223;12,62
45;Nb-B;6;Round;107;29,63;224;12,9
46;Nb-B;6;Round;107;33,33;226;13,01
47;Nb-B;6;Round;107;37,04;226;13,29
48;Nb-B;6;Round;108;40,74;227;13,42
49;Nb-B;6;Round;109;44,44;229;13,43
50;Nb-B;6;Round;109;48,15;229;13,5
51;Nb-B;6;Round;109;51,85;231;13,58
52;Nb-B;6;Round;109;55,56;233;13,74
53;Nb-B;6;Round;109;59,26;233;13,89
54;Nb-B;6;Round;110;62,96;234;14
55;Nb-B;6;Round;110;66,67;234;15,09
56;Nb-B;6;Round;110;70,37;237;15,46
57;Nb-B;6;Round;111;74,07;238;15,64
58;Nb-B;6;Round;111;77,78;238;15,7
59;Nb-B;6;Round;112;81,48;239;16,35
60;Nb-B;6;Round;112;85,19;240;16,44
61;Nb-B;6;Round;112;88,89;243;17,12
62;Nb-B;6;Round;113;92,59;243;17,36
63;Nb-B;6;Round;114;96,3;244;17,62
